fecha,descripcion,monto,tipo,categoria
2025-01-19,Verduras panadería,33.69,gasto,Alimentacion (Hogar)
2025-01-19,Peluqueria,5.19,gasto,Otros Gastos y Diversos
2025-01-20,Falabella,3.69,gasto,Vestido y Calzado
2025-01-20,Metro compras semanales,32.9,gasto,Alimentacion (Hogar)
2025-01-20,Gimnasio cuota mensual,7.01,gasto,Educacion y Ocio
2025-01-21,Ropa,3.35,gasto,Vestido y Calzado
2025-01-21,Estacionamiento bodega,20.42,gasto,Transporte y Comunicaciones
2025-01-21,Medicina,18.19,gasto,Salud
2025-01-22,Cafe,11.74,gasto,Alimentacion (Fuera)
2025-01-22,Regalo,8.34,gasto,Otros Gastos y Diversos
2025-01-22,Donacion,6.68,gasto,Otros Gastos y Diversos
2025-01-22,Compra de libros o material educativo,22.37,gasto,Educacion y Ocio
2025-01-22,Panaderia panadería,24.04,gasto,Alimentacion (Hogar)
2025-01-23,Pollo bodega,21.16,gasto,Alimentacion (Hogar)
2025-01-23,Medicina,21.57,gasto,Salud
2025-01-24,Grifo repsol compras semanales,12.87,gasto,Transporte y Comunicaciones
2025-01-25,Transferencia a familiar,5.13,gasto,Otros Gastos y Diversos
2025-01-25,Taxi panadería,17.34,gasto,Transporte y Comunicaciones
2025-01-27,Mass bodega,31.4,gasto,Alimentacion (Hogar)
2025-01-27,Bus bodega,21.01,gasto,Transporte y Comunicaciones
2025-01-28,Taxi panadería,20.22,gasto,Transporte y Comunicaciones
2025-01-29,Regalo,8.68,gasto,Otros Gastos y Diversos
2025-01-29,Barberia,6.83,gasto,Otros Gastos y Diversos
2025-01-29,Estacionamiento panadería,13.28,gasto,Transporte y Comunicaciones
2025-01-29,Falabella,4.15,gasto,Vestido y Calzado
2025-01-30,Salario mensual empresa XYZ,1082.43,ingreso,Salario
2025-01-30,Comida rapida,11.41,gasto,Alimentacion (Fuera)
2025-01-31,Peluqueria,3.65,gasto,Otros Gastos y Diversos
2025-01-31,Barberia,5.3,gasto,Otros Gastos y Diversos
2025-02-02,Starbucks,7.51,gasto,Alimentacion (Fuera)
2025-02-02,Arroz bodega,27.58,gasto,Alimentacion (Hogar)
2025-02-02,Chifa,9.87,gasto,Alimentacion (Fuera)
2025-02-03,Arroz bodega,33.72,gasto,Alimentacion (Hogar)
2025-02-03,Pollo a la brasa,11.37,gasto,Alimentacion (Fuera)
2025-02-04,Vitaminas,2.47,gasto,Salud
2025-02-04,Farmacia inkafarma,7.73,gasto,Salud
2025-02-04,Almuerzo restaurant,10.53,gasto,Alimentacion (Fuera)
2025-02-05,Peluqueria,5.63,gasto,Otros Gastos y Diversos
2025-02-05,Farmacia mifarma,6.68,gasto,Salud
2025-02-05,Netflix suscripción mensual,7.57,gasto,Educacion y Ocio
2025-02-05,Donacion,9.15,gasto,Otros Gastos y Diversos
2025-02-05,Pasaje panadería,24.09,gasto,Transporte y Comunicaciones
2025-02-06,Spotify suscripción mensual,6.51,gasto,Educacion y Ocio
2025-02-06,Perfume,13.64,gasto,Vestido y Calzado
2025-02-07,Arroz panadería,25.09,gasto,Alimentacion (Hogar)
2025-02-08,Ingreso por horas extra,109.11,ingreso,Salario
2025-02-08,Pago alquiler departamento,74.14,gasto,Vivienda y Servicios
2025-02-09,Farmacia inkafarma,8.56,gasto,Salud
2025-02-09,Artículos de limpieza y hogar,30.71,gasto,Mobiliario y Enseres
2025-02-10,Luz del Sur recibo mensual,60.93,gasto,Vivienda y Servicios
2025-02-10,Bembos,10.14,gasto,Alimentacion (Fuera)
2025-02-11,Consulta medica,7.78,gasto,Salud
2025-02-11,Oechsle,11.04,gasto,Vestido y Calzado
2025-02-12,Transferencia a familiar,7.16,gasto,Otros Gastos y Diversos
2025-02-12,Regalo,7.3,gasto,Otros Gastos y Diversos
2025-02-12,Sedapal recibo mensual,70.19,gasto,Vivienda y Servicios
2025-02-12,Cafe,10.94,gasto,Alimentacion (Fuera)
2025-02-12,Aceite panadería,36.29,gasto,Alimentacion (Hogar)
2025-02-15,Bodega compras semanales,31.47,gasto,Alimentacion (Hogar)
2025-02-15,Ropa,21.72,gasto,Vestido y Calzado
2025-02-15,Claro internet y telefono,70.02,gasto,Vivienda y Servicios
2025-02-16,Cuidado personal,8.91,gasto,Otros Gastos y Diversos
2025-02-16,Compra de libros o material educativo,16.18,gasto,Educacion y Ocio
2025-02-17,Analisis laboratorio,8.2,gasto,Salud
2025-02-17,Donacion,6.18,gasto,Otros Gastos y Diversos
2025-02-17,Bus compras semanales,22.39,gasto,Transporte y Comunicaciones
2025-02-17,Carniceria compras semanales,22.8,gasto,Alimentacion (Hogar)
2025-02-18,Compra de libros o material educativo,12.23,gasto,Educacion y Ocio
2025-02-18,Cuidado personal,2.63,gasto,Otros Gastos y Diversos
2025-02-18,Pollo bodega,37.05,gasto,Alimentacion (Hogar)
2025-02-18,Comida rapida,7.44,gasto,Alimentacion (Fuera)
2025-02-19,Barberia,7.03,gasto,Otros Gastos y Diversos
2025-02-19,Peluqueria,3.91,gasto,Otros Gastos y Diversos
2025-02-19,Farmacia mifarma,3.34,gasto,Salud
2025-02-20,Bodega bodega,22.97,gasto,Alimentacion (Hogar)
2025-02-20,Pasaje bodega,24.64,gasto,Transporte y Comunicaciones
2025-02-20,Gimnasio cuota mensual,6.74,gasto,Educacion y Ocio
2025-02-20,Peluqueria,3.2,gasto,Otros Gastos y Diversos
2025-02-21,Wong panadería,31.44,gasto,Alimentacion (Hogar)
2025-02-21,Regalo,2.48,gasto,Otros Gastos y Diversos
2025-02-21,Bus panadería,24.37,gasto,Transporte y Comunicaciones
2025-02-22,Menu,7.43,gasto,Alimentacion (Fuera)
2025-02-22,Taxi compras semanales,22.31,gasto,Transporte y Comunicaciones
2025-02-22,Medicina,4.92,gasto,Salud
2025-02-23,Almuerzo restaurant,8.3,gasto,Alimentacion (Fuera)
2025-02-23,Estacionamiento panadería,16.0,gasto,Transporte y Comunicaciones
2025-02-23,Frutas compras semanales,26.93,gasto,Alimentacion (Hogar)
2025-02-24,Barberia,2.73,gasto,Otros Gastos y Diversos
2025-02-24,Regalo,5.32,gasto,Otros Gastos y Diversos
2025-02-24,Accesorio,25.29,gasto,Vestido y Calzado
2025-02-24,Pasaje panadería,20.77,gasto,Transporte y Comunicaciones
2025-02-24,Tottus panadería,35.3,gasto,Alimentacion (Hogar)
2025-02-25,Analisis laboratorio,2.91,gasto,Salud
2025-02-26,Venta de muebles usados,72.74,ingreso,Otros Ingresos
2025-02-26,Uber panadería,14.54,gasto,Transporte y Comunicaciones
2025-02-27,Menu,11.4,gasto,Alimentacion (Fuera)
2025-02-28,Almuerzo restaurant,7.13,gasto,Alimentacion (Fuera)
2025-02-28,Farmacia mifarma,6.2,gasto,Salud
2025-02-28,Salario mensual empresa XYZ,1082.43,ingreso,Salario
2025-02-28,Transferencia a familiar,5.21,gasto,Otros Gastos y Diversos
2025-03-01,Anticuchos,7.43,gasto,Alimentacion (Fuera)
2025-03-01,Regalo,12.46,gasto,Otros Gastos y Diversos
2025-03-01,Falabella,14.16,gasto,Vestido y Calzado
2025-03-01,Medicina,1.67,gasto,Salud
2025-03-02,Artículos de limpieza y hogar,30.47,gasto,Mobiliario y Enseres
2025-03-02,Ingreso por horas extra,113.21,ingreso,Salario
2025-03-02,Regalo,12.44,gasto,Otros Gastos y Diversos
2025-03-02,Taxi panadería,23.71,gasto,Transporte y Comunicaciones
2025-03-03,Almuerzo restaurant,7.52,gasto,Alimentacion (Fuera)
2025-03-04,Anticuchos,10.13,gasto,Alimentacion (Fuera)
2025-03-04,Transferencia a familiar,5.65,gasto,Otros Gastos y Diversos
2025-03-04,Venta de libros usados,75.47,ingreso,Otros Ingresos
2025-03-05,Netflix suscripción mensual,7.86,gasto,Educacion y Ocio
2025-03-06,Grifo repsol compras semanales,24.14,gasto,Transporte y Comunicaciones
2025-03-06,Spotify suscripción mensual,7.45,gasto,Educacion y Ocio
2025-03-06,Oechsle,10.01,gasto,Vestido y Calzado
2025-03-06,Metro bodega,40.01,gasto,Alimentacion (Hogar)
2025-03-07,Consulta medica,4.42,gasto,Salud
2025-03-07,Plaza vea bodega,37.61,gasto,Alimentacion (Hogar)
2025-03-08,Pago alquiler departamento,63.08,gasto,Vivienda y Servicios
2025-03-08,Taxi panadería,17.74,gasto,Transporte y Comunicaciones
2025-03-08,Oechsle,13.21,gasto,Vestido y Calzado
2025-03-10,Vitaminas,4.41,gasto,Salud
2025-03-10,Pasaje bodega,22.59,gasto,Transporte y Comunicaciones
2025-03-10,Vitaminas,3.79,gasto,Salud
2025-03-10,Perfume,10.51,gasto,Vestido y Calzado
2025-03-10,Luz del Sur recibo mensual,61.57,gasto,Vivienda y Servicios
2025-03-11,Pollo a la brasa,6.25,gasto,Alimentacion (Fuera)
2025-03-12,Analisis laboratorio,1.77,gasto,Salud
2025-03-12,Sedapal recibo mensual,66.86,gasto,Vivienda y Servicios
2025-03-13,Farmacia inkafarma,5.53,gasto,Salud
2025-03-13,Analisis laboratorio,3.32,gasto,Salud
2025-03-14,Menu,8.75,gasto,Alimentacion (Fuera)
2025-03-14,Bembos,9.32,gasto,Alimentacion (Fuera)
2025-03-14,Barberia,7.95,gasto,Otros Gastos y Diversos
2025-03-14,Estacionamiento bodega,25.3,gasto,Transporte y Comunicaciones
2025-03-15,Claro internet y telefono,62.55,gasto,Vivienda y Servicios
2025-03-15,Grifo repsol panadería,23.62,gasto,Transporte y Comunicaciones
2025-03-15,Transferencia a familiar,11.7,gasto,Otros Gastos y Diversos
2025-03-16,Verduras bodega,40.09,gasto,Alimentacion (Hogar)
2025-03-16,Saga,11.55,gasto,Vestido y Calzado
2025-03-17,Grifo repsol compras semanales,21.4,gasto,Transporte y Comunicaciones
2025-03-17,Mercado panadería,50.68,gasto,Alimentacion (Hogar)
2025-03-18,Ropa,10.34,gasto,Vestido y Calzado
2025-03-18,Bodega bodega,32.45,gasto,Alimentacion (Hogar)
2025-03-19,Pollo a la brasa,5.99,gasto,Alimentacion (Fuera)
2025-03-19,Compra de libros o material educativo,8.78,gasto,Educacion y Ocio
2025-03-19,Leche compras semanales,37.39,gasto,Alimentacion (Hogar)
2025-03-20,Vitaminas,5.06,gasto,Salud
2025-03-20,Gimnasio cuota mensual,7.74,gasto,Educacion y Ocio
2025-03-21,Transferencia a familiar,6.7,gasto,Otros Gastos y Diversos
2025-03-22,Consulta medica,4.17,gasto,Salud
2025-03-22,Concierto o evento cultural,11.92,gasto,Educacion y Ocio
2025-03-23,Consulta medica,4.4,gasto,Salud
2025-03-25,Menu,8.48,gasto,Alimentacion (Fuera)
2025-03-25,Grifo repsol bodega,23.67,gasto,Transporte y Comunicaciones
2025-03-25,Almuerzo restaurant,6.36,gasto,Alimentacion (Fuera)
2025-03-26,Consulta medica,4.89,gasto,Salud
2025-03-26,Anticuchos,10.59,gasto,Alimentacion (Fuera)
2025-03-27,Transferencia a familiar,8.09,gasto,Otros Gastos y Diversos
2025-03-27,Farmacia mifarma,4.31,gasto,Salud
2025-03-28,Consulta medica,3.17,gasto,Salud
2025-03-28,Carniceria bodega,35.25,gasto,Alimentacion (Hogar)
2025-03-29,Carniceria compras semanales,37.35,gasto,Alimentacion (Hogar)
2025-03-29,Vitaminas,3.79,gasto,Salud
2025-03-30,Salario mensual empresa XYZ,1082.43,ingreso,Salario
2025-03-31,Starbucks,7.64,gasto,Alimentacion (Fuera)
2025-03-31,Chifa,5.19,gasto,Alimentacion (Fuera)
2025-03-31,Maquillaje,11.25,gasto,Vestido y Calzado
2025-03-31,Medicina,5.23,gasto,Salud
2025-04-01,Cuidado personal,6.44,gasto,Otros Gastos y Diversos
2025-04-01,Ingreso por horas extra,116.69,ingreso,Salario
2025-04-01,Supermercado compras semanales,27.35,gasto,Alimentacion (Hogar)
2025-04-02,Chifa,10.1,gasto,Alimentacion (Fuera)
2025-04-03,Bembos,8.59,gasto,Alimentacion (Fuera)
2025-04-04,Pollo bodega,24.9,gasto,Alimentacion (Hogar)
2025-04-05,Netflix suscripción mensual,7.64,gasto,Educacion y Ocio
2025-04-05,Metro bodega,32.12,gasto,Alimentacion (Hogar)
2025-04-06,Spotify suscripción mensual,6.96,gasto,Educacion y Ocio
2025-04-07,Regalo,6.53,gasto,Otros Gastos y Diversos
2025-04-07,Accesorio,17.08,gasto,Vestido y Calzado
2025-04-08,Cuidado personal,8.24,gasto,Otros Gastos y Diversos
2025-04-08,Barberia,5.37,gasto,Otros Gastos y Diversos
2025-04-08,Taxi compras semanales,33.27,gasto,Transporte y Comunicaciones
2025-04-08,Pago alquiler departamento,65.14,gasto,Vivienda y Servicios
2025-04-08,Artículos de limpieza y hogar,31.3,gasto,Mobiliario y Enseres
2025-04-09,Farmacia mifarma,8.18,gasto,Salud
2025-04-09,Ripley,15.89,gasto,Vestido y Calzado
2025-04-10,Luz del Sur recibo mensual,66.08,gasto,Vivienda y Servicios
2025-04-10,Metro bodega,21.76,gasto,Alimentacion (Hogar)
2025-04-11,Accesorio,26.61,gasto,Vestido y Calzado
2025-04-12,Leche bodega,33.49,gasto,Alimentacion (Hogar)
2025-04-12,Sedapal recibo mensual,62.12,gasto,Vivienda y Servicios
2025-04-13,Plaza vea compras semanales,29.54,gasto,Alimentacion (Hogar)
2025-04-14,Donacion,8.22,gasto,Otros Gastos y Diversos
2025-04-14,Grifo repsol panadería,22.52,gasto,Transporte y Comunicaciones
2025-04-15,Almuerzo restaurant,9.63,gasto,Alimentacion (Fuera)
2025-04-15,Menu,11.31,gasto,Alimentacion (Fuera)
2025-04-15,Claro internet y telefono,63.44,gasto,Vivienda y Servicios
2025-04-15,Wong panadería,25.11,gasto,Alimentacion (Hogar)
2025-04-16,Anticuchos,10.71,gasto,Alimentacion (Fuera)
2025-04-16,Chifa,6.74,gasto,Alimentacion (Fuera)
2025-04-17,Transferencia a familiar,5.77,gasto,Otros Gastos y Diversos
2025-04-17,Vitaminas,7.93,gasto,Salud
2025-04-18,Cine peliculas con amigos,11.0,gasto,Educacion y Ocio
2025-04-18,Pasaje panadería,35.06,gasto,Transporte y Comunicaciones
2025-04-18,Transferencia a familiar,2.48,gasto,Otros Gastos y Diversos
2025-04-18,Pollo panadería,35.15,gasto,Alimentacion (Hogar)
2025-04-19,Metropolitano panadería,22.01,gasto,Transporte y Comunicaciones
2025-04-19,Ripley,15.34,gasto,Vestido y Calzado
2025-04-19,Pollo a la brasa,7.77,gasto,Alimentacion (Fuera)
2025-04-19,Analisis laboratorio,8.07,gasto,Salud
2025-04-19,Menu,6.7,gasto,Alimentacion (Fuera)
2025-04-20,Gimnasio cuota mensual,7.13,gasto,Educacion y Ocio
2025-04-20,Metro compras semanales,22.03,gasto,Alimentacion (Hogar)
2025-04-20,Almuerzo restaurant,10.36,gasto,Alimentacion (Fuera)
2025-04-21,Carniceria panadería,23.2,gasto,Alimentacion (Hogar)
2025-04-21,Transferencia a familiar,7.54,gasto,Otros Gastos y Diversos
2025-04-22,Donacion,3.53,gasto,Otros Gastos y Diversos
2025-04-22,Barberia,2.93,gasto,Otros Gastos y Diversos
2025-04-22,Regalo,5.65,gasto,Otros Gastos y Diversos
2025-04-23,Cine peliculas con amigos,10.59,gasto,Educacion y Ocio
2025-04-23,Estacionamiento compras semanales,24.71,gasto,Transporte y Comunicaciones
2025-04-24,Medicina,12.07,gasto,Salud
2025-04-24,Regalo,7.84,gasto,Otros Gastos y Diversos
2025-04-24,Ingreso por freelance proyecto,77.8,ingreso,Freelance
2025-04-24,Donacion,8.12,gasto,Otros Gastos y Diversos
2025-04-25,Barberia,6.8,gasto,Otros Gastos y Diversos
2025-04-26,Bodega panadería,29.51,gasto,Alimentacion (Hogar)
2025-04-26,Anticuchos,6.6,gasto,Alimentacion (Fuera)
2025-04-28,Estacionamiento panadería,27.23,gasto,Transporte y Comunicaciones
2025-04-28,Carne panadería,33.92,gasto,Alimentacion (Hogar)
2025-04-28,Cafe,8.99,gasto,Alimentacion (Fuera)
2025-04-29,Regalo,3.77,gasto,Otros Gastos y Diversos
2025-04-30,Salario mensual empresa XYZ,1082.43,ingreso,Salario
2025-05-01,Cafe,10.92,gasto,Alimentacion (Fuera)
2025-05-01,Market panadería,20.92,gasto,Alimentacion (Hogar)
2025-05-01,Grifo repsol compras semanales,30.15,gasto,Transporte y Comunicaciones
2025-05-01,Transferencia a familiar,8.63,gasto,Otros Gastos y Diversos
2025-05-02,Bodega panadería,19.63,gasto,Alimentacion (Hogar)
2025-05-02,Picanteria,7.2,gasto,Alimentacion (Fuera)
2025-05-03,Wong compras semanales,22.75,gasto,Alimentacion (Hogar)
2025-05-04,Gasolina compras semanales,27.83,gasto,Transporte y Comunicaciones
2025-05-04,Artículos de limpieza y hogar,34.14,gasto,Mobiliario y Enseres
2025-05-04,Anticuchos,10.3,gasto,Alimentacion (Fuera)
2025-05-04,Aceite compras semanales,33.6,gasto,Alimentacion (Hogar)
2025-05-05,Netflix suscripción mensual,7.4,gasto,Educacion y Ocio
2025-05-05,Pollo a la brasa,7.99,gasto,Alimentacion (Fuera)
2025-05-06,Vitaminas,2.43,gasto,Salud
2025-05-06,Spotify suscripción mensual,7.32,gasto,Educacion y Ocio
2025-05-07,Vitaminas,2.95,gasto,Salud
2025-05-07,Mass compras semanales,32.94,gasto,Alimentacion (Hogar)
2025-05-08,Accesorio,8.81,gasto,Vestido y Calzado
2025-05-08,Pago alquiler departamento,64.31,gasto,Vivienda y Servicios
2025-05-08,Transferencia a familiar,5.97,gasto,Otros Gastos y Diversos
2025-05-08,Farmacia inkafarma,4.88,gasto,Salud
2025-05-09,Carniceria panadería,29.7,gasto,Alimentacion (Hogar)
2025-05-10,Luz del Sur recibo mensual,73.46,gasto,Vivienda y Servicios
2025-05-10,Gasolina compras semanales,33.05,gasto,Transporte y Comunicaciones
2025-05-11,Tottus panadería,28.83,gasto,Alimentacion (Hogar)
2025-05-11,Pasaje bodega,28.16,gasto,Transporte y Comunicaciones
2025-05-11,Donacion,5.76,gasto,Otros Gastos y Diversos
2025-05-11,Ingreso por horas extra,128.83,ingreso,Salario
2025-05-12,Tienda,5.28,gasto,Vestido y Calzado
2025-05-12,Farmacia inkafarma,2.01,gasto,Salud
2025-05-12,Tottus bodega,32.61,gasto,Alimentacion (Hogar)
2025-05-12,Menu,10.18,gasto,Alimentacion (Fuera)
2025-05-12,Sedapal recibo mensual,65.28,gasto,Vivienda y Servicios
2025-05-13,Perfume,9.13,gasto,Vestido y Calzado
2025-05-14,Farmacia mifarma,2.08,gasto,Salud
2025-05-14,Analisis laboratorio,4.33,gasto,Salud
2025-05-15,Medicina,1.47,gasto,Salud
2025-05-15,Farmacia mifarma,4.28,gasto,Salud
2025-05-15,Claro internet y telefono,64.47,gasto,Vivienda y Servicios
2025-05-15,Carne compras semanales,30.51,gasto,Alimentacion (Hogar)
2025-05-15,Almuerzo restaurant,6.19,gasto,Alimentacion (Fuera)
2025-05-16,Medicina,2.26,gasto,Salud
2025-05-16,Vitaminas,1.77,gasto,Salud
2025-05-16,Farmacia inkafarma,4.5,gasto,Salud
2025-05-16,Maquillaje,11.83,gasto,Vestido y Calzado
2025-05-16,Venta de libros usados,85.89,ingreso,Otros Ingresos
2025-05-16,Menu,8.51,gasto,Alimentacion (Fuera)
2025-05-17,Donacion,7.49,gasto,Otros Gastos y Diversos
2025-05-17,Vitaminas,2.96,gasto,Salud
2025-05-17,Cafe,7.08,gasto,Alimentacion (Fuera)
2025-05-18,Peluqueria,7.15,gasto,Otros Gastos y Diversos
2025-05-18,Leche compras semanales,26.81,gasto,Alimentacion (Hogar)
2025-05-19,Consulta medica,5.03,gasto,Salud
2025-05-20,Gimnasio cuota mensual,6.85,gasto,Educacion y Ocio
2025-05-21,Consulta medica,4.06,gasto,Salud
2025-05-21,Maquillaje,9.44,gasto,Vestido y Calzado
2025-05-21,Tottus bodega,29.1,gasto,Alimentacion (Hogar)
2025-05-23,Leche panadería,28.11,gasto,Alimentacion (Hogar)
2025-05-23,Tienda,13.39,gasto,Vestido y Calzado
2025-05-24,Starbucks,7.97,gasto,Alimentacion (Fuera)
2025-05-25,Grifo repsol compras semanales,31.24,gasto,Transporte y Comunicaciones
2025-05-25,Cine peliculas con amigos,31.53,gasto,Educacion y Ocio
2025-05-26,Donacion,7.81,gasto,Otros Gastos y Diversos
2025-05-27,Comida rapida,9.64,gasto,Alimentacion (Fuera)
2025-05-28,Pasaje panadería,21.68,gasto,Transporte y Comunicaciones
2025-05-28,Ropa,12.89,gasto,Vestido y Calzado
2025-05-29,Chifa,7.5,gasto,Alimentacion (Fuera)
2025-05-29,Perfume,5.78,gasto,Vestido y Calzado
2025-05-30,Barberia,15.3,gasto,Otros Gastos y Diversos
2025-05-30,Salario mensual empresa XYZ,1082.43,ingreso,Salario
2025-05-31,Farmacia inkafarma,2.96,gasto,Salud
2025-06-01,Farmacia inkafarma,8.26,gasto,Salud
2025-06-01,Metro compras semanales,30.88,gasto,Alimentacion (Hogar)
2025-06-01,Estacionamiento compras semanales,19.39,gasto,Transporte y Comunicaciones
2025-06-01,Starbucks,8.56,gasto,Alimentacion (Fuera)
2025-06-02,Aceite panadería,23.36,gasto,Alimentacion (Hogar)
2025-06-02,Estacionamiento compras semanales,18.61,gasto,Transporte y Comunicaciones
2025-06-03,Tottus bodega,33.68,gasto,Alimentacion (Hogar)
2025-06-03,Almuerzo restaurant,8.75,gasto,Alimentacion (Fuera)
2025-06-04,Ingreso por horas extra,110.42,ingreso,Salario
2025-06-04,Mercado compras semanales,31.17,gasto,Alimentacion (Hogar)
2025-06-05,Taxi bodega,23.39,gasto,Transporte y Comunicaciones
2025-06-05,Netflix suscripción mensual,7.03,gasto,Educacion y Ocio
2025-06-06,Artículos de limpieza y hogar,30.05,gasto,Mobiliario y Enseres
2025-06-06,Spotify suscripción mensual,7.18,gasto,Educacion y Ocio
2025-06-06,Oechsle,8.59,gasto,Vestido y Calzado
2025-06-07,Metropolitano compras semanales,16.41,gasto,Transporte y Comunicaciones
2025-06-07,Mass compras semanales,32.66,gasto,Alimentacion (Hogar)
2025-06-07,Picanteria,6.43,gasto,Alimentacion (Fuera)
2025-06-08,Pago alquiler departamento,72.33,gasto,Vivienda y Servicios
2025-06-08,Comida rapida,8.23,gasto,Alimentacion (Fuera)
2025-06-08,Verduras bodega,24.48,gasto,Alimentacion (Hogar)
2025-06-08,Transferencia a familiar,18.72,gasto,Otros Gastos y Diversos
2025-06-09,Chifa,10.91,gasto,Alimentacion (Fuera)
2025-06-09,Pollo a la brasa,6.12,gasto,Alimentacion (Fuera)
2025-06-09,Farmacia mifarma,12.58,gasto,Salud
2025-06-09,Pasaje panadería,13.68,gasto,Transporte y Comunicaciones
2025-06-10,Luz del Sur recibo mensual,67.99,gasto,Vivienda y Servicios
2025-06-10,Anticuchos,12.74,gasto,Alimentacion (Fuera)
2025-06-10,Mercado bodega,25.03,gasto,Alimentacion (Hogar)
2025-06-10,Perfume,10.06,gasto,Vestido y Calzado
2025-06-12,Comida rapida,10.75,gasto,Alimentacion (Fuera)
2025-06-12,Sedapal recibo mensual,62.73,gasto,Vivienda y Servicios
2025-06-12,Analisis laboratorio,15.01,gasto,Salud
2025-06-13,Transferencia a familiar,20.45,gasto,Otros Gastos y Diversos
2025-06-14,Metro panadería,32.21,gasto,Alimentacion (Hogar)
2025-06-14,Estacionamiento compras semanales,16.99,gasto,Transporte y Comunicaciones
2025-06-14,Tienda,10.44,gasto,Vestido y Calzado
2025-06-15,Oechsle,9.92,gasto,Vestido y Calzado
2025-06-15,Anticuchos,6.3,gasto,Alimentacion (Fuera)
2025-06-15,Claro internet y telefono,67.55,gasto,Vivienda y Servicios
2025-06-16,Accesorio,3.05,gasto,Vestido y Calzado
2025-06-17,Cosmetico,4.97,gasto,Vestido y Calzado
2025-06-18,Regalo,11.76,gasto,Otros Gastos y Diversos
2025-06-18,Regalo,13.79,gasto,Otros Gastos y Diversos
2025-06-18,Venta de ropa en buen estado,73.61,ingreso,Otros Ingresos
2025-06-18,Concierto o evento cultural,11.97,gasto,Educacion y Ocio
2025-06-19,Maquillaje,6.99,gasto,Vestido y Calzado
2025-06-19,Panaderia compras semanales,22.56,gasto,Alimentacion (Hogar)
2025-06-20,Cosmetico,6.21,gasto,Vestido y Calzado
2025-06-20,Gimnasio cuota mensual,6.55,gasto,Educacion y Ocio
2025-06-21,Peluqueria,20.39,gasto,Otros Gastos y Diversos
2025-06-22,Leche bodega,36.72,gasto,Alimentacion (Hogar)
2025-06-22,Taxi compras semanales,19.2,gasto,Transporte y Comunicaciones
2025-06-24,Comida rapida,10.97,gasto,Alimentacion (Fuera)
2025-06-25,Tottus panadería,34.75,gasto,Alimentacion (Hogar)
2025-06-27,Saga,9.25,gasto,Vestido y Calzado
2025-06-27,Zapatos,5.7,gasto,Vestido y Calzado
