fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,A1 TROZOS DE ATUN 140 GR,und,6.10
2025-12-02,NICOLINI FIDEO SPAGUETTI 450GR,und,2.80
2025-12-02,SIB. OREGANO MOLIDO X 6 21 GR,paquete,2.10
2025-12-02,SIB. HONGOS Y LAUREL 10 GR,und,2.50
2025-12-02,HELLMANNS MAYONESA CLASICA 475GR,und,14.50
2025-12-02,BIMBO TORTILLAS X 12 UND,und,10.50
2025-12-02,SIBARITA TUCO PX6 50.4GR,und,4.90
2025-12-02,DON VITTORIO SPAGHETTI 450GR.,und,3.50
2025-12-02,INCA MAR LOMITO DE BONITO 160 GR,und,3.60
2025-12-02,INCA MAR LOMITOS D/CABALLA 160G,und,5.50
2025-12-02,INCA MAR TROZOS D/ATUN 140G,und,5.60
2025-12-02,INCA MAR FILETE D/ATUN 140G,und,6.30
2025-12-02,OLIVOS D/SUR BLEND D/ACEITE D/GIRASOL&OLIVA 900ML,und,13.50
2025-12-02,DEL CIELO DURAZNO EN MITADES LATA X 820 GR,und,8.50
2025-12-02,CAZTELLANI CAFE TOSTADO MOLIDO 250GR,und,12.00
2025-12-02,CAZTELLANI EN GRANOS KG,und,45.90
2025-12-02,CAZTELLANI CAFE TOSTADO MOLIDO KG,und,45.90
2025-12-02,SUBLIME CERAL CHOCOLATE 230GR,und,12.80
2025-12-02,GLORIA TROZOS DE ATUN 140 GR,und,5.70
2025-12-02,DON VITTORIO LINGUINI 450GR,und,3.50
2025-12-02,KOMILON LENTEJA MARRON 500 GR,und,3.90
2025-12-02,AVENA KIWICHA 370 GRANO DE ORO,und,3.60
2025-12-02,AVENA X 1 KG GRANO DE ORO,und,9.90
2025-12-02,CABELLO DE ANGEL 250 GR GRANO DE ORO,und,1.50
2025-12-02,CANUTO 250 GR. GRANO DE ORO,und,1.50
2025-12-02,QUINUA AVENA 170G GRANO DE ORO,und,1.80
2025-12-02,ACEITE CLASICO 900ML PRIMOR,und,9.80
2025-12-02,ACEITE PREMIUM 900 ML PRIMOR,und,9.90
2025-12-02,TARI CREMA D/AJI 400 GR A LA CENA,und,13.90
2025-12-02,A LA CENA HUANCAINA 85GR.,und,3.80
2025-12-02,A LA CENA MAYONESA 190GR,und,7.30
2025-12-02,BENOTI FIDEO TORNILLO 250GR,und,1.20
2025-12-02,QUIWICHA AVENA 170G GRANO DE ORO,und,1.80
2025-12-02,SPAGHETTI 500G GRANO DE ORO,und,2.60
2025-12-02,PAPA SECA NEGRA KG,kg,10.89
2025-12-02,A LA CENA UCHUCUTA 85GR,und,3.80
2025-12-02,BENOTI FIDEO CAB.DE ANGEL 250GR,und,1.20
2025-12-02,BENOTI FIDEOS LETRAS/NUMEROS 250GR,und,1.20
2025-12-02,BENOTI FIDEO CANUTO RAYADO 250GR,und,1.20
2025-12-02,GRAN CHALAN ARROZ EXTRA X 10 KILOS,sa,42.90
2025-12-02,DON VITTORIO 1/4 CABELLO DE ANGEL,und,1.90
2025-12-02,DON VITTORIO 225 GR CODO RAYADO,und,1.90
2025-12-02,DON VITTORIO 235 GR RIGATONI,und,1.90
2025-12-02,DON VITTORIO 235GR CANUTO RAYADO,und,1.90
2025-12-02,DON VITTORIO 450GR FETTUCCINI,und,2.95
2025-12-02,DON VITTORIO 235 GR CORBATA CHICA,und,1.90
2025-12-02,ANGEL FRESIA ALMOHADA 110 GR,und,3.30
2025-12-02,ANGEL FRUTT CEREAL 130 GR,und,3.30
2025-12-02,ANGEL MELI CEREAL 130GR,und,3.30
2025-12-02,ANGEL TITO ALMOHADA 110 GR,und,3.30
2025-12-02,ANGEL ZUCK CEREAL 130GR,und,3.30
2025-12-02,MC COLINS RELAJANTE VALERIANA Y TORONJIL X 12,und,3.40
2025-12-02,WAWASANA ASMACHILCA (CX12),und,3.30
2025-12-02,WAWASANA TE MENTA Y MUÑA X 12,va,3.30
2025-12-02,GLORIA MERMELADA FRESA X 800 GR DOYPACK,und,11.30
2025-12-02,GLORIA MERMELADA POTE VIDRIO 310GR,und,5.60
2025-12-02,WAWASANA DIGESTIVO (CX12),und,3.30
2025-12-02,NESTLE CHOCAPIC CEREAL 540GR,und,21.50
2025-12-02,NESTLE CHOCOPIC X 90GR,und,4.50
2025-12-02,NESTLE CORN FLAKES CEREAL 180 GR,und,10.90
2025-12-02,NESQUIK CHOCOLATE 190 GR DOYPACK,und,9.80
2025-12-02,NESTLE CORN FLAKES 405 GR,und,15.50
2025-12-02,AJI-NO-MEN DE GALLINA PICANTE X 80GR,und,1.70
2025-12-02,AJI-NO-MEN SABOR CARNE 80 GR,und,1.70
2025-12-02,AJI-NO-MEN SABOR POLLO 80 GR,und,1.70
2025-12-02,AJI-NO-MEN VASO SOPA CARNE 51 GR,und,3.40
2025-12-02,AJI-NO-MEN VASO SOPA GALLINA 51 GR,und,3.40
2025-12-02,AJI-NO-MEN VASO SOPA POLLO 51 GR,und,3.40
2025-12-02,COMPASS KETCHUP 250 GR,und,5.50
2025-12-02,COMPASS KETCHUP 400 GR,und,8.30
2025-12-02,COMPASS MOSTAZA 200 GR,und,5.30
2025-12-02,COMPASS MOSTAZA 400 GR,und,7.80
2025-12-02,QUAKER AVENA 500 GR,und,7.30
2025-12-02,QUAKER AVE.TRADICIONAL S/CHOCOLATE 110GR,und,2.50
2025-12-02,QUAKER AVENA TRADICIONAL 100GR,und,1.40
2025-12-02,QUAKER AVENA TRADICIONAL 200GR,und,2.90
2025-12-02,QUAKER AVENA TRADICIONAL X 900 GR,und,11.90
2025-12-02,NESCAFE VAINILLA LATTE 148 GR,und,18.50
2025-12-02,ECCO CEBADA INSTANTANEA 170GR,und,14.90
2025-12-02,POMAROLA SALSA CLASICA 145GR,und,2.10
2025-12-02,SIB. FRASCO TUCO 80 GR,und,6.80
2025-12-02,INCASUR PUNCHAO INSTANTANEO 265 GR,und,10.90
2025-12-02,WINTERS COCOA SOBRE 160 GR,und,7.90
2025-12-02,MILO CEREAL 320 GR,und,14.20
2025-12-02,XANDER CEREAL BOLI CHOCO,und,9.70
2025-12-02,XANDER CEREAL BOLI COLOR,und,9.70
2025-12-02,XANDER CEREALITOS TRIGO 500 GR,und,10.90
2025-12-02,XANDER TRIGO RICO 130 GR,und,3.50
2025-12-02,KETCHUP 380GR A LA CENA,und,9.70
2025-12-02,DON ITALO SALSA DE CARNE X 250 GR,und,15.90
2025-12-02,COSTEÑO ARROZ SUPERIOR 3/4 ROJO,und,3.30
2025-12-02,AZÚCAR RUBIA KG,und,2.65
2025-12-02,FILETE DE ATUN BELTRAN,und,6.70
2025-12-02,NESCAFE TRADICION ZIPPER. 50GR,und,9.60
2025-12-02,CAFETAL 200 GR,und,14.50
2025-12-02,INCASUR SOL DEL CUSCO DARK INST. X 220 GR,und,19.50
2025-12-02,INCASUR CHOCOLATE EN POLVO MOKA 220GR,und,19.50
2025-12-02,ARVEJA PARTIDA 500 KG KOMILON,und,3.90
2025-12-02,FRIJOL CABALLERO 500 GR KOMILON,und,3.80
2025-12-02,HARINA DE CENTENO X 200 GR NUTRIMIX,und,7.50
2025-12-02,TROZOS DE ATÚN 170 GR. BELTRAN,und,6.50
2025-12-02,ARROZ X 5 KG CASERITA A GRANEL,und,16.40
2025-12-02,AZÚCAR RUBIA X 4 KG,und,12.90
2025-12-02,AZÚCAR BLANCA KG,und,3.50
2025-12-02,COCKTAIL D/FRUTAS 820GR FRUTO DE ORO,und,9.90
2025-12-02,PIÑA EN RODAJAS 565 GR. ARICA,und,10.50
2025-12-02,ARROZ EXTRA 3/4 AZUL COSTEÑO,und,3.80
2025-12-02,PASTA DE TOMATE 680GR VISCIANO,und,12.90
2025-12-02,WALIBÍ AJÍ CRIOLLO 200GR,und,5.60
2025-12-02,WALIBÍ CREMA DE ROCOTO X 200 GR,und,5.50
2025-12-02,QUINUA x kg,kg,15.50
2025-12-02,DEL FIRME VINAGRE BLANCO LT,und,4.80
2025-12-02,VENTURO VINAGRE BLANCO LT,und,7.10
2025-12-02,FLORIDA VINAGRE 625 ML TINTO,und,3.30
2025-12-02,XANDER CEREAL BOLI COLOR 135 GR,va,3.20
2025-12-02,LUREN KETCHUP 200 GR,und,2.60
2025-12-02,LUREN MOSTAZA 200 GR,und,3.00
2025-12-02,XANDER ARITO DE COLORES 135 GR,und,3.20
2025-12-02,KOMILON FRIJOL CANARIO 500 KG,und,6.70
2025-12-02,NESCAFE GOLD FRASCO 50 GR,und,21.50
2025-12-02,SAN JOSE TURRON - EXPORTACION X 500 GR,und,19.50
2025-12-02,UNION PALITOS C/AJONJOLI&LINAZA 65G,und,2.10
2025-12-02,UNION PAN FIBRA INTEGRAL 540GR,und,8.90
2025-12-02,UNION PAN INTEGRAL 495 GR,und,8.30
2025-12-02,UNION PAN INTEGRAL MEDIANO,und,5.00
2025-12-02,UNION PRE PIZZA 270 GR,und,8.00
2025-12-02,UNION TOSTADA INTEGRAL X 10 UND,und,5.50
2025-12-02,BIMBO PAN HAMBURGUESA,und,10.90
2025-12-02,PYC PAN BLANCO 500GR,und,7.80
2025-12-02,PYC PAN INTEGRAL FAMILIAR 500GR,und,7.90
2025-12-02,PYC TURRONCITO 350GR,und,8.90
2025-12-02,KOMILON MAIZ POP CORN 500GR,und,3.20
2025-12-02,CHOCO LISTO 200 GR,und,8.90
2025-12-02,CHOCO LISTO 300 GR POTE,und,12.90
2025-12-02,COSTEÑO CANCHA POP CORN 500 GR,und,5.40
2025-12-02,COSTEÑO FREJOL CANARIO 500 GR,und,9.60
2025-12-02,COSTEÑO PALLAR 500 GR,und,7.90
2025-12-02,COSTEÑO ARROZ EXTRA 5 KG AZUL,und,27.60
2025-12-02,PRIMOR TROZOS DE ATUN 140 GR,und,6.00
2025-12-02,ALTOMAYO DESCAFEINADO 180 GR FRASCO,und,38.90
2025-12-02,3 OSITOS AVENA PREMIUM 900GR,und,16.90
2025-12-02,3 OSITOS QUINUA/AVENA PREMIUM 900G,und,17.90
2025-12-02,MOLITALIA HARINA PREP X KG,kg,7.90
2025-12-02,MOLITALIA HARINA S/PREP KG,und,6.80
2025-12-02,ECCO CEBADA INST. LATA 50GR,und,5.30
2025-12-02,MILO 190 GR DOYPACK,und,11.90
2025-12-02,FILETE D/ATUN EN AC/VEG. 140GR FLORIDA,und,6.20
2025-12-02,MOLITALIA FID.SPAGHETTI 950GR,und,5.95
2025-12-02,AJI-NO-MEN S/INST.GALLINA+PICANTE 80GR,und,2.10
2025-12-02,AJI-NO-MEN 80 GR GALLINA,und,2.10
2025-12-02,AJI-NO-MEN 80 GR POLLO,und,2.10
2025-12-02,MARUCHAN RAMEN CAMARON 85 GR,und,2.90
2025-12-02,MARUCHAN RAMEN POLLO PICANTE 85 GR,und,2.90
2025-12-02,WAWASANA DULCES SUEÑOS (CX20),und,5.90
2025-12-02,WAWASANA MANZANILLA X 20,und,2.90
2025-12-02,WAWASANA TE CANELA Y CLAVO,und,2.90
2025-12-02,WAWASANA TE PURO VERDE X 20,und,5.50
2025-12-02,WAWASANA TE VERDE C LIMON X 20,und,5.50
2025-12-02,WAWASANA TE VERDE C NARANJA X 20,und,5.50
2025-12-02,OLIVOS D/SUR ACEITE D/OLIVA PURO 200ML,und,18.50
2025-12-02,OLIVOS D/SUR ACEI.EXTRA VIRGEN PREMIUN 250 ML,und,21.90
2025-12-02,OLIVOS D/SUR ACEIT/OLIVA EXT.VIRGEN 200 ML,und,18.50
2025-12-02,OLIVOS D/SUR ACEIT/OLIVA EXTRA VIRGEN 500 ML,und,37.00
2025-12-02,A LA CENA HUANCAINA 400 GR,und,13.90
2025-12-02,ALACENA UCHUCUTA 400 GR,und,13.90
2025-12-02,GLORIA FILETE DE ATUN 140 GR,und,5.90
2025-12-02,KOMILON LENTEJA AMERICANA 500 KG,und,5.00
2025-12-02,PAN INTEGRAL BIMBO,und,12.90
2025-12-02,PAN BLANCO MEDIANO BIMBO,und,11.50
2025-12-02,UNION PAN MULTISEMILLAS C/AVENA,und,8.50
2025-12-02,UNION PAN GRANOS Y SEMILLAS,und,8.50
2025-12-02,MOLITALIA MACARRON 500 GR,und,4.10
2025-12-02,MOLITALIA SEMOLA 200 GR,und,2.20
2025-12-02,MOLITALIA TORNILLO 500 GR,und,4.10
2025-12-02,DON ITALO RAVIOLES DE CARNE X 500 GR,und,26.50
2025-12-02,KIWICHA AVENA PREMIUN 270 GR 3 OSITOS,und,5.90
2025-12-02,MACA AVENA 270 GR 3 OSITOS,und,5.90
2025-12-02,COSTA CEREAL BAR DURAZNO CX12UN,und,6.90
2025-12-02,MOLITALIA VOLCAN DE CHOCOLATE 470 GR,und,7.90
2025-12-02,MOLITALIA 1/4 CANUTO,und,2.30
2025-12-02,VENTURO VINAGRE BLANCO 600 ML,und,5.00
2025-12-02,MC COLIN´S DIAS FRIOS X 12 SOBRES,und,3.20
2025-12-02,MC COLIN´S ANIS (CX25),und,3.50
2025-12-02,MC COLLIN´S BOLDO (CX25),und,3.50
2025-12-02,MC COLIN´S HIERBA LUISA (CX25),und,3.40
2025-12-02,MC COLIN´S MANZANILLA (CX25),und,3.40
2025-12-02,MC COLIN´S INFUSION DIGESTIVO X12UND,und,3.40
2025-12-02,NESCAFE GOLD 100 GR,und,29.90
2025-12-02,KOMILON PALLAR 500 GR,und,6.50
2025-12-02,UNIVERSAL CHUÑO 180 GR,und,3.80
2025-12-02,MC COLIN´S ANIS (CX100),und,9.70
2025-12-02,MC COLIN'S TE PURO CX100,und,9.80
2025-12-02,DELEITE ACEITE PREMIUM 900 ML,und,7.20
2025-12-02,ARROZ CASERITA X 1 KG.,und,2.60
2025-12-02,FLORIDA TROZOS DE ATUN 100GR,und,6.00
2025-12-02,ALTOMAYO CAFE INSTA.CLASICO 200 GR,und,27.00
2025-12-02,DELEITE ACEITE PREMIUM 5LT,und,39.90
