fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,DKASA LIMPIATODO 4LT LAVANDA,und,13.50
2025-12-02,NOBLE PREMIUM P.H. D/HOJA X 4UND,und,7.90
2025-12-02,OPAL ULTRA DETER. 730GR,und,8.00
2025-12-02,MARSELLA DETERG.JAZMIN Y ROSAS 730GR,und,7.50
2025-12-02,BOLIVAR DETERG.FLORAL CUIDADO TOTAL 730GR,und,9.00
2025-12-02,DKASA LIMPIATODO 4LT BEBE,und,13.50
2025-12-02,DKASA LIMPIATODO 900ML FLORAL,und,3.40
2025-12-02,DKASA LIMPIATODO 900ML BEBE,und,3.40
2025-12-02,RPTO D/AROMAT AUTOMATICO MORA 270 ML GLADE,und,37.50
2025-12-02,PERFUM.RPTO POTPOURRI D/FLORES 240ML SAPOLIO,und,12.20
2025-12-02,BOLIVAR JABON D/ROPA FLORAL 190GR,und,3.00
2025-12-02,BOLIVAR JABON P/ROPA CUIDADO NIÑO Y BB 190GR,und,3.00
2025-12-02,BOLIVAR JABON D/ROPA LIMON 190GR,und,3.00
2025-12-02,BOLIVAR DET.BEBES & NIÑOS 730GR,und,9.00
2025-12-02,BOLIVAR DET.MICELAR 730 GR,und,9.00
2025-12-02,BOLIVAR DET.CUIDADO Y SUAVIDAD 730 GR,und,9.00
2025-12-02,AYUDIN LAVAVAJILLA POTE LIMON 950GR,und,7.50
2025-12-02,NOVA CLASICA MEGARROLLO,und,2.90
2025-12-02,LIMPITO LEJIA CONCENTRADA 1LT,und,3.00
2025-12-02,HELLO KITTY PAÑUELOS DESECHABLES X 100,und,5.20
2025-12-02,PAÑUELOS DESECHABLES CX100 KUROMI,und,5.20
2025-12-02,PAÑUELOS CAJA X100 HELLO KITTY,und,5.20
2025-12-02,RAID MAX MATA CUCARACHAS 339G,und,16.90
2025-12-02,RAID MATA PULGAS Y AGARRAPATAS 335 GR,und,16.90
2025-12-02,GLADE CUBO AROMATIZANTE MANZ&CANELA 180G,und,11.90
2025-12-02,GLADE CUBO AROMATIZANTE GEL VAINILLA 180G,und,11.90
2025-12-02,GLADE CUBO AROMATIZANTE GEL LAVANDA 180G,und,11.90
2025-12-02,RPTO D/AROM AUTOMATICO CANELA 270 ML GLADE,und,37.50
2025-12-02,AMBIENTADOR 400 ML ALEGRIA FLORAL GLADE,und,9.60
2025-12-02,AMBIENTADOR 400 ML PARAISO AZUL GLADE,und,9.60
2025-12-02,AROMATIZANTE MANZ/CANELA 400ML GLADE,und,9.70
2025-12-02,AROMATIZANTE MORA RAD. 400ML GLADE,und,9.60
2025-12-02,JOHNSON PATO GEL MARINA 500 ML,und,17.50
2025-12-02,JOHNSON PATO GEL PINO 500 ML,und,17.70
2025-12-02,JOHNSON PATO LIMP.D/INODOROS LAVANDA 30 GR,und,8.50
2025-12-02,MR MUSCULO ANTIGRASA NARANJA 500ML C/GATILL,und,18.90
2025-12-02,MR MUSCULO DESTRUCTOR 500 ML C/GATILLO,und,14.50
2025-12-02,PREMIO LUSTRA MUEBLES 280ML,und,10.90
2025-12-02,RAID ACCION TOTAL 262GR NEGRO,und,17.90
2025-12-02,RAID DOBLE ACC.ZANC.Y MOSCA 244G/400CM,und,16.90
2025-12-02,RAID ZANCUDOS Y MOSCAS 244GR,und,16.90
2025-12-02,TACHITOS ROLLO BOLSA D/BASURA 30 LT 10UND,und,2.90
2025-12-02,ELITE P.TOALLA MEGA ROLLO 2EN1 X 2,paquete,6.20
2025-12-02,ELITE SERV.100 DOBLES,und,5.20
2025-12-02,VIRUTEX BOLSA P/BASURA 25LT (10UN),und,3.00
2025-12-02,VIRUTEX BOLSA PLAST 75LT (10UN),und,6.80
2025-12-02,VIRUTEX ESCOBILLA MULTIUSO,und,6.80
2025-12-02,VIRUTEX ESPONJA SPUNITA UND,und,1.90
2025-12-02,VIRUTEX GUANTE CONVENIENTE L,und,5.30
2025-12-02,VIRUTEX GUANTE CORRUGADO TALLA 7,und,7.50
2025-12-02,VIRUTEX GUANTE PROFESIONAL 25 L(9),und,9.50
2025-12-02,VIRUTEX GUANTE PROFESIONAL 25 M(8),und,9.50
2025-12-02,VIRUTEX GUANTES ANTIBACTERIAL T/M8,und,9.50
2025-12-02,VIRUTEX GUANTES COCINA SM,und,9.50
2025-12-02,TACHITOS ROLLO BOLSA D/BASURA 75LT (50UND),und,13.50
2025-12-02,BOLIVAR SUAVISANTE BABY&KIDS 800 ML,und,9.50
2025-12-02,BOLIVAR SUAVIZANTE 800ML,und,9.50
2025-12-02,CIF CREM-MULTIUSO LIMON 750G,und,12.30
2025-12-02,CIF LAVAVAJILLAS LIQ.ANTIBACTERIAL 500 ML,und,8.30
2025-12-02,CIF CREM-MULTIUSO ORIGINAL 750GR,und,12.80
2025-12-02,CIF LAVAVAJILLAS LIQ. LIMON 500 ML,und,8.30
2025-12-02,LAVAVAJILLA LIMON 300ML,und,4.40
2025-12-02,PAÑOS D/MICROFIBRA 5UND FACIL,und,9.90
2025-12-02,QUITASARRO Y OXIDO 700ML FACIL,und,9.90
2025-12-02,SACAGRASA GATILLO 700ML FACIL,und,14.60
2025-12-02,LAVAJILLA LIQUID. 900ML FACIL,und,9.90
2025-12-02,LIMPIA TODO BEBE FCO 900 ML SAPOLIO,und,3.50
2025-12-02,LIMP/TODO LAVANDA FCO 900 ML SAPOLIO,und,3.50
2025-12-02,LIMPIATODO ROSAS 900 ML SAPOLIO,und,3.50
2025-12-02,SUAVE EXTRA D.H X 2 NARANJA (PX10),ph,17.50
2025-12-02,POETT 900 ML LAVANDA,und,4.00
2025-12-02,POETT 900 ML PRIMAVERA,und,4.00
2025-12-02,POETT 900 ML BEBE,und,3.90
2025-12-02,POETT LIMPIATODO ALEGRA TU DIA 900ML,und,3.90
2025-12-02,BOLIVAR DETERG. MISCELAR 2.4KG,und,24.90
2025-12-02,SAPOLIO LEJIA 5LT,und,11.50
2025-12-02,PARACAS PH. BLACK DOBLE HOJA (PX4),und,7.90
2025-12-02,PARACAS PAPEL TOALLA PREMIUM,und,2.80
2025-12-02,FACIL LIBRE ENJUAGUE FLORAL 4 LT,und,25.50
